industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
農業科技,1240,茂生農經,61741000,88,702000,707000,570000,600000,3.57,675000,3.94,,,,
觀光事業,1259,安心,541805000,966,561000,558000,516000,514000,3.07,504000,-0.83,,,,
食品工業,1264,德麥,204417000,266,768000,734000,694000,668000,16.19,672000,3.08,,,,
觀光事業,1268,漢來美食,666747000,1272,524000,518000,447000,422000,2.01,504000,-0.83,,,,
電子零組件業,1336,台翰,15674000,12,1306000,814000,828000,778000,1.0,730000,2.59,,,,
生技醫療業,1565,精華,1879749000,2799,672000,585000,634000,549000,18.8,714000,1.39,,V,,本公司為傳統製造業，直接人員佔有公司人員七成(其中外勞佔全部員工約兩成)，雖然薪資/獎金隨著獲利增加調整，惟可能調整幅度低於同業，故造成非擔任主管職務之全時員工薪資平均數低於同業水準。
電腦及週邊設備業,1569,濱川,20983000,32,656000,653000,612000,605000,2.62,827000,5.12,,,,
電機機械,1570,力肯,67551000,122,554000,519000,428000,406000,2.61,657000,2.01,,V,,110年子公司不動產被當地政府徵收，相關處分利益佔本公司稅前淨利38%。上述處分利益與台灣員工薪酬調整無關。本公司非主管職務之全時員工「薪資平均數」由109年的519仟元，增至110年的554仟元，適度反應營運績效。
電機機械,1580,新麥,76367000,75,1018000,929000,939000,908000,10.16,657000,2.01,,,,
其他,1584,精剛,53019000,85,624000,521000,580000,459000,0.46,709000,2.73,,,,
電機機械,1586,和勤,87268000,136,642000,581000,571000,518000,1.29,657000,2.01,,,,
生技醫療業,1593,祺驊,88580000,134,661000,608000,517000,490000,4.9,714000,1.39,,V,,"110年員工薪資平均數及中位數均較109年增加；已將經營績效反映於員工薪酬,包括:(1)今年發放之年終獎金，較前一年增加137萬。(2)今年員工進行調薪，平均調薪幅度約5.8%。(3)109年EPS超過預算，公司加發一個月薪資"
電子零組件業,1595,川寶,65416000,72,909000,647000,759000,548000,3.93,730000,2.59,,,,
電機機械,1599,宏佳騰,198017000,394,503000,498000,481000,472000,4.72,657000,2.01,,V,,公司位置僻靜物價相較都會區、工業及科技園區低，8成員工為基礎作業員技術含量不高，因此平均數相較於同業低，員工除薪資、獎金，另依據章程提撥員工酬勞，109年度經營績效較108提升，相應員工酬勞亦會增加。
化學工業,1742,台蠟,14968000,24,624000,467000,513000,439000,5.16,740000,1.94,,V,,110年度持續受疫情衝擊，加上原物料價格上漲，影響公司營運績效與成果。本年度之盈餘大多來自於業外收入，處分不動產、活化資產以充實營運資金，對員工薪資的調升尚未有多餘的空間。
生技醫療業,1777,生泰,113486000,164,692000,831000,615000,756000,3.38,714000,1.39,,V,,員工薪酬係衡量公司現行規模，依公司所制定之『薪資管?972;辦法』及『營業目標及稅前淨利達成獎勵辦法』，作為評核之依循，因火災事故及疫情致整體營運績效下降，故獎金發放減少尚稱合理。
生技醫療業,1781,合世,43687000,55,794000,755000,737000,661000,-1.31,714000,1.39,,,,
生技醫療業,1784,訊聯,123495000,164,753000,748000,668000,633000,0.56,714000,1.39,,,,
